Greek_Mod	ˈðe̞n̪ðro̞n
Bulgarian	dɤˈrvɔ
Danish	d̥ʰʁɛˀ
Russian	'dʲerʲevo
Old_Church_Slavonic	drævo
Serbian	drʋo
Serbocroatian	dr̂ʋo
Polish	ˈdʒɛvɔ
Faroese	tʰɹɛaː
Icelandic_St	tʰrjɛː
Old_Swedish	træː
Övdalian	trɑɪ
Swedish	trɛ:(d)
Old_Norse	treː
Stavangersk	tʁeː
Norwegian	tɾeː
Gutnish_Lau	trɛɪ
English	tri:
