Danish_Fjolde	ˈmɑnəŋ
Norwegian	ˈmàŋːə
Stavangersk	ˈmàŋːə
Old_Swedish	ˈmaŋːer
Danish	ˈmɑŋə
Gutnish_Lau	ˈmaŋɡɛ
Faroese	ˈmaŋɡ̊ɪɹ
Old_Norse	ˈmarɡir
Icelandic_St	ˈmarɡ̊ɪr
Övdalian	mɑʉŋg
Swedish	ˈmɔ̀ŋːa
English	'mɛnɪ
Övdalian	mɪ̀kːɛl
Bulgarian	ˈmnɔɡo
Russian	'mnogo
Serbocroatian_P	mnôɡo
Serbian	mnôɡo
Czech	mnoɦo
Old_Church_Slavonic	mŭnogŭ
