Ancient_Greek	rízda
Greek_Mod	'riza
Tadzik	reʃæ
Persian	riʃe
Old_Norse	roːt
Icelandic_St	rouːt
Faroese	ɹɔuːt
Norwegian	ɾuːt
Stavangersk	ʁuːd
Old_Swedish	roːt
Swedish	ru:t
Övdalian	rʉːət
Danish	ʁoˀð
Danish_Fjolde	ɹuoj
Gutnish_Lau	rout
English	ru:t
Frisian	'vuatəl
Dutch_List	'wɔrtəl
German	'vʊt͜sl̩
Catalan	ə'rɛl
Brazilian	xa'is
Portuguese_St	ɾɐˈiʃ
Spanish	ra'iθ
French	ʀasin
Italian	ra'ditʃe
Old_Irish	ɸʹrʹe:n
Old2_Irish	ɸʹrʹe:ṽ
Cornish	gwrɛɪð
Breton_St	'gwrizjɛn
