French	fʀɥi
English	fru:t
Greek_Mod	ˈfruto̞
Old_Norse	fruktr
Faroese	fɹʊkt
Norwegian	fɾʉkt
Stavangersk	fʁukt
Old_Swedish	frukt
Swedish	frɵkt
Övdalian	frʉkt
Danish	fʁɔg̥d̥
Danish_Fjolde	fɹoɡd
Gutnish_Lau	frukt
Frisian	frøxt
Dutch_List	vrʏχt
German	fruxt
Catalan	fru'i
Portuguese_St	ˈfɾutɐ
Spanish	'fɾuta
Italian	'frutto
Cornish	fro:θ
Breton_St	'frwe:s
